first_layer,second_layer
"[16, 1, 1, 'same', 'relu', 2, 0.05, 16, 0.05, 0.01]",[]
"[16, 1, 1, 'same', 'relu', 2, 0.05, 16, 0.05, 0.1]",[]
"[16, 1, 1, 'same', 'relu', 2, 0.05, 16, 0.05, 0.0003]",[]
"[16, 1, 1, 'same', 'relu', 2, 0.05, 16, 0.1, 0.01]",[]
"[16, 1, 1, 'same', 'relu', 2, 0.05, 16, 0.1, 0.1]",[]
"[16, 1, 1, 'same', 'relu', 2, 0.05, 16, 0.1, 0.0003]",[]
"[16, 1, 1, 'same', 'relu', 2, 0.05, 16, 0.15, 0.01]",[]
"[16, 1, 1, 'same', 'relu', 2, 0.05, 16, 0.15, 0.1]",[]
"[16, 1, 1, 'same', 'relu', 2, 0.05, 16, 0.15, 0.0003]",[]
"[16, 1, 1, 'same', 'relu', 2, 0.05, 16, 0.25, 0.01]",[]
"[16, 1, 1, 'same', 'relu', 2, 0.05, 16, 0.25, 0.1]",[]
"[16, 1, 1, 'same', 'relu', 2, 0.05, 16, 0.25, 0.0003]",[]
"[16, 1, 1, 'same', 'relu', 2, 0.05, 32, 0.05, 0.01]",[]
"[16, 1, 1, 'same', 'relu', 2, 0.05, 32, 0.05, 0.1]",[]
"[16, 1, 1, 'same', 'relu', 2, 0.05, 32, 0.05, 0.0003]",[]
"[16, 1, 1, 'same', 'relu', 2, 0.05, 32, 0.1, 0.01]",[]
"[16, 1, 1, 'same', 'relu', 2, 0.05, 32, 0.1, 0.1]",[]
"[16, 1, 1, 'same', 'relu', 2, 0.05, 32, 0.1, 0.0003]",[]
"[16, 1, 1, 'same', 'relu', 2, 0.05, 32, 0.15, 0.01]",[]
"[16, 1, 1, 'same', 'relu', 2, 0.05, 32, 0.15, 0.1]",[]
"[16, 1, 1, 'same', 'relu', 2, 0.05, 32, 0.15, 0.0003]",[]
"[16, 1, 1, 'same', 'relu', 2, 0.05, 32, 0.25, 0.01]",[]
"[16, 1, 1, 'same', 'relu', 2, 0.05, 32, 0.25, 0.1]",[]
"[16, 1, 1, 'same', 'relu', 2, 0.05, 32, 0.25, 0.0003]",[]
"[16, 1, 1, 'same', 'relu', 2, 0.05, 64, 0.05, 0.01]",[]
"[16, 1, 1, 'same', 'relu', 2, 0.05, 64, 0.05, 0.1]",[]
"[16, 1, 1, 'same', 'relu', 2, 0.05, 64, 0.05, 0.0003]",[]
"[16, 1, 1, 'same', 'relu', 2, 0.05, 64, 0.1, 0.01]",[]
"[16, 1, 1, 'same', 'relu', 2, 0.05, 64, 0.1, 0.1]",[]
"[16, 1, 1, 'same', 'relu', 2, 0.05, 64, 0.1, 0.0003]",[]
"[16, 1, 1, 'same', 'relu', 2, 0.05, 64, 0.15, 0.01]",[]
"[16, 1, 1, 'same', 'relu', 2, 0.05, 64, 0.15, 0.1]",[]
"[16, 1, 1, 'same', 'relu', 2, 0.05, 64, 0.15, 0.0003]",[]
"[16, 1, 1, 'same', 'relu', 2, 0.05, 64, 0.25, 0.01]",[]
