first_layer,second_layer,third_layer
"[16, 1, 1, 'same', 'relu', 2, 0.05, 32, 0.05, 0.001]",[],[]
"[16, 5, 1, 'same', 'relu', 2, 0.05, 64, 0.1, 0.01]",[],[]
"[16, 7, 1, 'same', 'relu', 2, 0.05, 128, 0.05, 0.02]",[],[]
"[16, 8, 1, 'same', 'relu', 2, 0.05, 128, 0.1, 0.0001]",[],[]
"[16, 3, 1, 'same', 'relu', 2, 0.05, 128, 0.25, 1e-05]",[],[]
"[16, 5, 1, 'same', 'relu', 2, 0.05, 256, 0.15, 0.04]",[],[]
"[16, 7, 1, 'same', 'relu', 2, 0.1, 256, 0.05, 0.01]",[],[]
"[16, 5, 1, 'same', 'relu', 2, 0.15, 256, 0.05, 0.01]",[],[]
"[16, 8, 1, 'same', 'relu', 2, 0.25, 256, 0.15, 0.0003]",[],[]
"[32, 5, 1, 'same', 'relu', 2, 0.05, 128, 0.05, 0.0005]",[],[]
"[32, 3, 1, 'same', 'relu', 2, 0.05, 256, 0.05, 0.001]",[],[]
"[64, 8, 1, 'same', 'relu', 2, 0.05, 512, 0.05, 0.0001]",[],[]
"[64, 5, 1, 'same', 'relu', 2, 0.05, 128, 0.05, 0.001]",[],[]
"[128, 3, 1, 'same', 'relu', 2, 0.05, 128, 0.05, 0.0001]",[],[]
"[256, 5, 1, 'same', 'relu', 2, 0.05, 128, 0.05, 0.0001]",[],[]
"[32, 3, 1, 'same', 'relu', 2, 0.05, 256, 0.05, 0.0001]","[16, 1, 1, 'same', 'relu', 2, 0.15]",[]
"[32, 3, 1, 'same', 'relu', 2, 0.05, 256, 0.05, 0.0001]","[32, 3, 1, 'same', 'relu', 3, 0.25]",[]
"[16, 5, 1, 'same', 'relu', 2, 0.05, 128, 0.05, 0.01]","[16, 7, 2, 'valid', 'relu', 2, 0.25]",[]
"[16, 7, 1, 'same', 'relu', 2, 0.05, 256, 0.05, 0.003]","[32, 3, 1, 'same', 'relu', 3, 0.25]",[]
"[32, 3, 2, 'same', 'relu', 2, 0.05, 128, 0.05, 1e-06]","[128, 3, 2, 'same', 'relu', 3, 0.25]",[]
"[16, 8, 1, 'same', 'relu', 2, 0.05, 256, 0.05, 1]","[32, 3, 1, 'same', 'relu', 3, 0.25]",[]
"[32, 3, 2, 'same', 'relu', 2, 0.05, 128, 0.05, 1e-15]","[128, 3, 2, 'same', 'relu', 3, 0.25]",[]
"[32, 3, 2, 'same', 'relu', 2, 0.05, 512, 0.05, 0.0001]","[128, 3, 2, 'same', 'relu', 3, 0.25]",[]
"[16, 5, 2, 'same', 'relu', 2, 0.05, 128, 0.05, 0.01]","[32, 3, 1, 'same', 'relu', 3, 0.25]","[32, 3, 1, 'same', 'relu', 3, 0.25]"
"[16, 8, 2, 'same', 'relu', 2, 0.05, 128, 0.05, 0.01]","[32, 3, 2, 'same', 'relu', 3, 0.25]","[64, 3, 1, 'same', 'relu', 3, 0.25]"
"[32, 5, 2, 'same', 'relu', 2, 0.05, 512, 0.05, 1e-05]","[64, 3, 2, 'same', 'relu', 3, 0.25]","[64, 3, 1, 'same', 'relu', 3, 0.25]"
"[16, 7, 4, 'same', 'relu', 1, 0.05, 256, 0.05, 0.001]","[32, 4, 2, 'same', 'relu', 1, 0.25]","[64, 3, 1, 'same', 'relu', 1, 0.25]"
"[32, 8, 4, 'same', 'relu', 1, 0.05, 256, 0.05, 0.1]","[64, 4, 2, 'same', 'relu', 1, 0.25]","[128, 3, 1, 'same', 'relu', 1, 0.25]"
"[32, 8, 4, 'same', 'relu', 1, 0.05, 256, 0.05, 0.1]","[64, 4, 2, 'same', 'relu', 1, 0.25]","[128, 3, 1, 'same', 'relu', 1, 0.25]"
